Names;URL;Author;Price;Number of Ratings;Average Rating
Mathematics for Class 10 by R D Sharma (2018-19 Session);/Mathematics-Class-Sharma-2018-19-Session/dp/8193647920?_encoding=UTF8&psc=1;R.D. Sharma;   395.00;4.8 out of 5 stars;20
Principles and Practices of Banking;/Principles-Practices-Banking-IIBF/dp/9350597292?_encoding=UTF8&psc=1;Not Available;   489.00;4.5 out of 5 stars;191
Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future;/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638?_encoding=UTF8&psc=1;Ashlee Vance;   363.00;4.6 out of 5 stars;541
Mathematics for Class 9 by R D Sharma (2018-19 Session);/Mathematics-Class-Sharma-2018-19-Session/dp/8193647912?_encoding=UTF8&psc=1;R.D. Sharma;   355.00;4.5 out of 5 stars;12
Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi;/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1;Ashwin Sanghi;   219.00;4.2 out of 5 stars;203
The Secret;/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1;Rhonda Byrne;   416.00;4.5 out of 5 stars;1,219
Environment;/Environment-Shankar/dp/B00Q6Q5WHS?_encoding=UTF8&psc=1;Not Available;   400.00;4.2 out of 5 stars;395
Accounting and Finance for Bankers;/Accounting-Finance-Bankers-Med/dp/9350598485?_encoding=UTF8&psc=1;Not Available;   439.00;4.5 out of 5 stars;191
Certificate Physical and Human Geography;/Certificate-Physical-Human-Geography-Cheng/dp/0195628160?_encoding=UTF8&psc=1;Not Available;   260.00;4.2 out of 5 stars;658
Inner Engineering: A Yogi’s Guide to Joy;/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1;Sadhguru;   173.00;4.7 out of 5 stars;832
15 Years' Solved Papers JEE Main;/Years-Solved-Papers-JEE-Main/dp/9311126276?_encoding=UTF8&psc=1;Not Available;   312.00;4.3 out of 5 stars;41
This Is Not Your Story;/This-Your-Story-Savi-Sharma/dp/9386224399?_encoding=UTF8&psc=1;Savi Sharma;   112.00;4.5 out of 5 stars;1,880
Dharmayoddha Kalki: Avatar of Vishnu (Book 1);/Dharmayoddha-Kalki-Avatar-Vishnu-Book/dp/8193503309?_encoding=UTF8&psc=1;Kevin Missal;   175.00;4.4 out of 5 stars;136
Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition);/Legal-Regulatory-Aspects-Banking-JAIIB/dp/9350597284?_encoding=UTF8&psc=1;Not Available;   300.00;4.4 out of 5 stars;189
Attitude Is Everything: Change Your Attitude ... Change Your Life!;/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1;Jeff Keller;   121.00;4.5 out of 5 stars;218
The Secret Of The Nagas (Shiva Trilogy-2);/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340?_encoding=UTF8&psc=1;Amish Tripathi;   150.00;4.6 out of 5 stars;1,482
