Names;URL;Author;Price;Number of Ratings;Average Rating
Goodnight Moon;/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1;Margaret Wise Brown;$5.93;4.7 out of 5 stars;3,182
Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life;/Genius-Foods-Smarter-Productive-Protecting/dp/0062562851?_encoding=UTF8&psc=1;Max Lugavere;$16.79;5.0 out of 5 stars;50
Milk and Honey;/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1;Rupi Kaur;$8.99;4.6 out of 5 stars;5,365
Dear Zoo: A Lift-the-Flap Book;/Dear-Zoo-Lift-Flap-Book/dp/141694737X?_encoding=UTF8&psc=1;Rod Campbell;$4.71;4.8 out of 5 stars;2,567
Fancy Nancy and the Missing Easter Bunny;/Fancy-Nancy-Missing-Easter-Bunny/dp/0062377922?_encoding=UTF8&psc=1;Not Available;$3.91;4.3 out of 5 stars;17
The Wonderful Things You Will Be;/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1;Emily Winfield Martin;$11.75;4.8 out of 5 stars;1,445
Emoji Easter Coloring Book: of Easter Egg Coloring, Cute Animals, Easter Emojis & Funny Bunny Jokes! Easter Bunny Coloring Activity Book, Easter Basket Stuffer for Boys, Girls, Teens & Adults!;/Emoji-Easter-Coloring-Book-Activity/dp/198573060X?_encoding=UTF8&psc=1;Nyx Spectrum;$6.80;Prime;Not Available
The Very Hungry Caterpillar;/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1;Eric Carle;$6.61;4.6 out of 5 stars;3,421
Wonder;/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1;R. J. Palacio;$10.19;4.9 out of 5 stars;12,600
Simon vs. the Homo Sapiens Agenda;/Simon-vs-Homo-Sapiens-Agenda/dp/006234868X?_encoding=UTF8&psc=1;Becky Albertalli;$6.69;4.7 out of 5 stars;800
Happy Easter, Mouse! (If You Give...);/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1;Not Available;$5.63;4.5 out of 5 stars;283
Where Are Baby's Easter Eggs?: A Lift-the-Flap Book;/Where-Babys-Easter-Lift-Flap/dp/1416949240?_encoding=UTF8&psc=1;Karen Katz;$6.99;4.6 out of 5 stars;175
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book);/Four-Agreements-Practical-Personal-Freedom/dp/1878424319?_encoding=UTF8&psc=1;Don Miguel Ruiz;$8.19;4.6 out of 5 stars;6,929
Big Preschool Workbook;/Preschool-Workbook-School-Zone-Staff/dp/0887431453?_encoding=UTF8&psc=1;School Zone Staff;$7.49;4.7 out of 5 stars;706
Bright Baby Touch and Feel Easter;/Bright-Baby-Touch-Feel-Easter/dp/0312513755?_encoding=UTF8&psc=1;Roger Priddy;$4.70;3.5 out of 5 stars;171
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087?_encoding=UTF8&psc=1;Amy Ramos;$9.36;4.2 out of 5 stars;691
The Whole30: The 30-Day Guide to Total Health and Food Freedom;/Whole30-30-Day-Guide-Health-Freedom/dp/0544609719?_encoding=UTF8&psc=1;Melissa Hartwig;$18.00;4.6 out of 5 stars;3,198
How to Win Friends & Influence People;/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1;Dale Carnegie;$9.60;4.7 out of 5 stars;8,058
Before We Were Yours: A Novel;/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1;Lisa Wingate;$15.60;4.7 out of 5 stars;5,898
